time,rain
2020-10-05T11:57:47Z,6
2020-10-05T12:02:42Z,6
2020-10-05T12:07:52Z,6
2020-10-05T12:12:46Z,6
2020-10-05T12:17:42Z,5
2020-10-05T12:22:52Z,5
2020-10-05T12:27:46Z,6
2020-10-05T12:32:41Z,6
2020-10-05T12:37:50Z,6
2020-10-05T12:42:43Z,6
2020-10-05T12:47:53Z,6
2020-10-05T12:52:49Z,5
2020-10-05T12:57:43Z,5
2020-10-05T13:02:38Z,6
2020-10-05T13:07:51Z,6
2020-10-05T13:12:44Z,5
2020-10-05T13:17:37Z,5
2020-10-05T13:22:45Z,6
2020-10-05T13:27:38Z,5
2020-10-05T13:32:50Z,6
2020-10-05T13:37:44Z,6
2020-10-05T13:42:37Z,6
2020-10-05T13:47:46Z,5
2020-10-05T13:52:40Z,5
2020-10-05T13:57:48Z,6
2020-10-05T14:02:41Z,5
2020-10-05T14:07:49Z,6
2020-10-05T14:12:43Z,5
2020-10-05T14:17:37Z,5
2020-10-05T14:22:46Z,5
2020-10-05T14:27:42Z,5
2020-10-05T14:32:38Z,5
2020-10-05T14:37:48Z,5
2020-10-05T14:42:42Z,5
2020-10-05T14:47:38Z,5
2020-10-05T14:52:46Z,6
2020-10-05T14:57:41Z,5
2020-10-05T15:02:36Z,5
2020-10-05T15:07:44Z,5
2020-10-05T15:12:38Z,5
2020-10-05T15:17:46Z,5
2020-10-05T15:22:40Z,5
2020-10-05T15:27:39Z,5
2020-10-05T15:32:34Z,5
2020-10-05T15:37:43Z,5
2020-10-05T15:42:36Z,5
2020-10-05T15:47:44Z,5
2020-10-05T15:52:36Z,5
2020-10-05T15:57:46Z,5
2020-10-05T16:02:43Z,5
2020-10-05T16:07:36Z,5
2020-10-05T16:12:45Z,5
2020-10-05T16:17:41Z,5
2020-10-05T16:22:36Z,5
2020-10-05T16:27:30Z,5
2020-10-05T16:32:39Z,5
2020-10-05T16:37:34Z,5
2020-10-05T16:42:43Z,5
2020-10-05T16:47:38Z,5
2020-10-05T16:52:33Z,5
2020-10-05T16:57:44Z,5
2020-10-05T17:02:38Z,5
2020-10-05T17:07:32Z,5
2020-10-05T17:12:41Z,5
2020-10-05T17:17:34Z,5
2020-10-05T17:22:43Z,5
2020-10-05T17:27:36Z,5
2020-10-05T17:32:33Z,5
2020-10-05T17:37:42Z,5
2020-10-05T17:42:35Z,5
2020-10-05T17:47:28Z,4
2020-10-05T17:52:43Z,5
2020-10-05T17:57:36Z,5
2020-10-05T18:02:30Z,5
2020-10-05T18:07:38Z,5
2020-10-05T18:12:32Z,5
2020-10-05T18:17:39Z,5
2020-10-05T18:22:31Z,5
2020-10-05T18:27:40Z,5
2020-10-05T18:32:36Z,5
2020-10-05T18:37:32Z,5
2020-10-05T18:42:27Z,5
2020-10-05T18:47:35Z,5
2020-10-05T18:52:29Z,5
2020-10-05T18:57:39Z,5
2020-10-05T19:02:32Z,5
2020-10-05T19:07:26Z,5
2020-10-05T19:12:35Z,5
2020-10-05T19:17:30Z,5
2020-10-05T19:22:23Z,6
2020-10-05T19:27:35Z,6
2020-10-05T19:32:29Z,6
2020-10-05T19:37:26Z,6
2020-10-05T19:42:41Z,6
2020-10-05T19:47:35Z,7
2020-10-05T19:52:28Z,6
2020-10-05T19:57:37Z,9
2020-10-05T20:02:37Z,11
2020-10-05T20:07:33Z,11
2020-10-05T20:12:27Z,10
2020-10-05T20:17:23Z,8
2020-10-05T20:22:34Z,9
2020-10-05T20:27:27Z,11
2020-10-05T20:32:38Z,11
2020-10-05T20:37:33Z,11
2020-10-05T20:42:26Z,11
2020-10-05T20:47:36Z,9
2020-10-05T20:52:30Z,9
2020-10-05T20:57:24Z,9
2020-10-05T21:02:34Z,8
2020-10-05T21:07:27Z,7
2020-10-05T21:12:23Z,8
2020-10-05T21:17:32Z,7
2020-10-05T21:22:26Z,7
2020-10-05T21:27:21Z,7
2020-10-05T21:33:14Z,7
2020-10-05T21:37:41Z,8
2020-10-05T21:42:32Z,8
2020-10-05T21:47:40Z,8
2020-10-05T21:52:24Z,8
2020-10-05T21:57:30Z,8
2020-10-05T22:02:37Z,9
2020-10-05T22:07:24Z,9
2020-10-05T22:12:21Z,8
2020-10-05T22:17:41Z,8
2020-10-05T22:22:25Z,8
2020-10-05T22:27:33Z,9
2020-10-05T22:32:35Z,9
2020-10-05T22:37:23Z,9
2020-10-05T22:42:41Z,8
2020-10-05T22:47:37Z,9
2020-10-05T22:52:22Z,8
2020-10-05T22:57:55Z,8
2020-10-05T23:02:48Z,8
2020-10-05T23:07:24Z,8
2020-10-05T23:12:33Z,8
2020-10-05T23:17:32Z,7
2020-10-05T23:22:23Z,8
2020-10-05T23:27:32Z,8
2020-10-05T23:32:14Z,8
2020-10-05T23:37:37Z,8
2020-10-05T23:42:36Z,8
2020-10-05T23:47:19Z,8
